student_id,听课质量评级,是否隐性逃课
pjxqqxbj974,沉浸,否
pjxyqxbk958,一般,否
pjxyqxbk582,一般,否
pjxuqwbj788,游离,是
pjxwxxbj944,游离,是
pjxuqwbj734,游离,否
pjxyqwbj923,一般,否
pjxyqwbk529,游离,是
pjxyqxbk953,一般,否
pjxyqwbj563,游离,否
pjxyqwbj598,一般,否
pjxyqwbj651,游离,是
pjwrqxbj938,游离,是
pjxyqwbj034,一般,否
pjxyqwbj086,一般,否
pjxyqxbk869,一般,否
pjxyqwbk638,一般,否
pjxyqxbl934,一般,否
pjxuqwbj811,沉浸,否
pjxyqwbk777,游离,否
pjxuqwbj723,游离,否
pjxxxxbj958,游离,是
pjxwxxbj983,游离,是
pjxyqwbj077,游离,是
pjxyqxbk171,一般,否
pjwtzxbj996,游离,是
pjxyqwbk572,游离,是
pjxyqwbj648,游离,否
pjxyqxbj198,一般,否
pjxyqxbl953,一般,否
pjxyqxbj533,一般,否
pjxyqwbj577,游离,否
pjxyqxbk820,一般,否
pjxyqxbj757,一般,否
pjxyqxbk329,一般,否
pjxyqxbj224,一般,否
pjxyqwbj380,游离,否
pjxyqxbj392,一般,否
pjxyqxbk094,一般,否
pjxyqxbj001,一般,否
pjxsqxbj940,游离,是
pjxvztfj976,一般,否
pjxyqxbk378,一般,否
pjxqzxbj996,游离,否
pjxrqxbj969,游离,是
pjxwxxbj992,游离,是
pjxyqwbj185,游离,否
pjxyqxbj242,一般,否
pjxyqxbj422,一般,否
pjxyqwbj905,游离,否
pjxyqxbj440,一般,否
pjxyqxbl989,游离,是
pjxtzxfj978,游离,是
pjxyqwbj944,沉浸,否
pjxyqxbk489,一般,否
pjxyqxbj124,一般,否
pjxyqxbk552,游离,是
pjxyqwbk549,一般,否
pjxqqxbj951,沉浸,否
pjxwxxbj951,游离,是
pjxyqxbk043,游离,否
pjxsqxbj821,游离,否
pjwtqxbj953,游离,是
pjxyqwbk536,游离,是
pjxyqxbj379,一般,否
pjxyqwbj174,一般,否
pjwrqxbj974,游离,是
pjxyqwbj913,一般,否
pjxyqxbk643,一般,否
pjxyqxbj633,游离,否
pjwrqxbj948,游离,是
pjxyqxbk081,一般,否
pjxyqwbj277,游离,否
pjxyqwbj669,游离,否
pjxyqxbk759,一般,否
pjxyqwbk813,游离,是
pjxyqwbj408,游离,否
pjxyqxbk795,游离,否
pjxrqxbj903,一般,否
pjwtqxbj959,游离,是
pjxyqxbj688,游离,是
pjxyqxbk079,一般,否
pjxvzxfj980,一般,否
pjxyqxbj777,一般,否
pjxyqxbj082,一般,否
pjxuqwbj608,游离,否
pjxyqxbl736,一般,否
pjxyqwbk671,游离,是
pjxyqxbk895,一般,否
pjxyqxbl912,一般,否
pjxuqwbj663,游离,是
pjxwxxbj963,游离,是
pjxyqxbj221,一般,否
pjxyqxbk019,一般,否
pjxyqxbk535,游离,是
pjxyqxbj400,一般,否
pjxyqwbj955,游离,否
pjxyqxbj290,一般,否
pjxyqxbk902,一般,否
pjxyqxbj187,一般,否
pjxyqxbk334,一般,否
pjxqqxbj964,沉浸,否
pjwtqxbj929,游离,否
pjxyqxbk075,一般,否
pjxyqxbj035,游离,是
pjxyqwbj540,游离,是
pjxuqwbj500,游离,否
pjxyqxbj919,游离,是
pjxpqxbj998,沉浸,否
pjxyqxbk525,游离,否
pjxyqxbj879,一般,否
pjxuqwbj666,沉浸,否
pjxyqxbk209,一般,否
pjxyqwbj785,游离,否
pjxyqwbk967,一般,否
pjxyqxbj165,一般,否
pjwrqxbj993,游离,是
pjxtzxfj983,游离,是
pjxuqwbj566,游离,是
pjxyqwbj949,一般,否
pjxuqwbj745,游离,否
pjxyqwbj527,游离,否
pjxyqxbj153,一般,否
pjxvztfj992,一般,否
pjxyqxbj496,一般,否
pjxrqxbj898,沉浸,否
pjxyqwbj358,游离,是
pjxyqwbj552,一般,否
pjxyqxbj740,游离,是
pjxyqxbk222,一般,否
pjxyqxbl996,一般,否
pjxyqxbl753,一般,否
pjxyqwbk559,沉浸,否
pjxyqxbj511,一般,否
pjxyqwbj156,一般,否
pjxyqwbk594,游离,否
pjxyqxbk789,一般,否
pjxwxxbj927,游离,是
pjxyqxbj139,游离,是
pjxyqxbj317,一般,否
pjxyqwbk781,一般,否
pjxuqwbj994,游离,否
pjxuqwbj491,游离,是
pjxxxxbj910,游离,否
pjxyqwbj322,一般,否
pjxyqwbj867,一般,否
pjxyqxbj152,一般,否
pjxyqxbj694,一般,否
pjxyqwbj515,游离,否
pjxyqwbk868,游离,否
pjxyqxbj725,一般,否
pjxyqwbj941,一般,否
pjwrqxbj898,游离,是
pjxyqwbj799,游离,否
pjxyqwbj327,一般,否
pjxqzxbj985,游离,否
pjxsqxbj787,沉浸,否
pjxyqwbj316,一般,否
pjxqqxbj983,沉浸,否
pjxyqwbj758,一般,否
pjxpqxbj962,沉浸,否
pjxyqwbj072,游离,是
pjxqqxbj997,游离,否
pjxyqwbk673,游离,是
pjxyqwbk829,一般,否
pjxuqwbj739,一般,否
pjxwxxbj964,游离,是
pjxyqwbk578,一般,否
pjxuqwbj474,游离,否
pjxyqwbj279,一般,否
pjxyqwbj301,游离,否
pjxyqwbk779,一般,否
pjxqqxbj961,沉浸,否
pjxyqwbj283,游离,是
pjxyqxbk642,一般,否
pjxyqxbj273,一般,否
pjxyqwbj146,沉浸,否
pjxyqwbk893,游离,否
pjxwxxbj924,游离,是
pjxyqwbk871,一般,否
pjxyqxbk339,一般,否
pjxuzxbj986,游离,否
pjxyqxbl931,游离,否
pjxxztfj992,一般,否
pjxyqxbk302,游离,是
pjxyqxbj520,一般,否
200307700011,游离,是
pjxyqxbj145,一般,否
pjxsqxbj777,游离,否
pjxyqxbj451,一般,否
pjxrqxbj992,游离,是
pjxyqxbk070,游离,否
pjxuqwbj952,游离,否
pjxyqxbk792,一般,否
pjxuqwbj761,游离,否
pjxyqxbk005,游离,是
pjxyqxbj682,游离,否
pjxyqxbk916,一般,否
pjxyqxbk748,一般,否
pjxyqwbj907,游离,否
pjxyqxbj397,一般,否
pjxvztfj980,一般,否
pjxyqwbj344,游离,否
pjxyqxbk375,一般,否
pjxtztbj989,游离,是
pjxyqxbj928,游离,是
pjxyqxbk852,一般,否
pjvyzxbj998,一般,否
pjxwxxbj907,游离,否
pjxsqxbj859,游离,是
pjxxztbj990,一般,否
pjxyqxbj828,一般,否
pjxyqxbj491,一般,否
pjxyqxbk140,游离,是
pjxrqxbj955,游离,否
pjxyqwbj776,游离,否
pjwtqxbj957,游离,是
pjxyqwbj431,游离,否
pjxwxxbj908,游离,是
pjxyqwbj276,游离,否
pjxyqxbk290,一般,否
pjxsqxbj957,游离,否
pjxyqxbj352,一般,否
pjxyqxbk464,游离,是
pjxyqxbj182,一般,否
pjxyqxbl913,一般,否
pjxyqxbj548,一般,否
pjxyqxbk543,一般,否
pjxuqwbj637,游离,否
pjvyzvfj977,一般,否
pjxyqxbk533,一般,否
pjxyqxbl905,一般,否
pjxyqxbk414,游离,否
pjxyqwbj621,游离,是
pjxxztfj995,一般,否
pjxwxxbj941,游离,是
pjxuqwbj763,游离,否
pjxyqwbj697,游离,是
pjxuqwbj529,游离,是
pjxwzxkj996,一般,否
pjxyqxbk621,一般,否
pjxyqxbk236,一般,否
pjxyqxbl678,游离,是
pjxyqwbj658,一般,否
pjxyqxbj540,一般,否
pjxyqxbj483,一般,否
pjxwxxbj905,游离,是
pjxyqwbk646,游离,是
pjxuqwbj503,游离,否
pjxyqwbj748,一般,否
pjxpqxbj986,沉浸,否
pjxuqwbj980,一般,否
pjxpqxbj971,沉浸,否
pjxuqwbj715,一般,否
pjxsqxbj851,游离,否
pjxyqxbj412,游离,是
pjxyqxbj588,一般,否
pjxyqxbk304,一般,否
pjxyqwbk828,游离,是
pjxyqwbj634,一般,否
pjxyqxbj812,一般,否
pjwtqxbj944,游离,否
pjxpqxbj963,沉浸,否
pjxuqwbj784,游离,否
pjxuqwbj580,游离,是
pjxyqwbj844,游离,否
pjxyqxbj192,游离,是
pjxyqwbk869,一般,否
pjxyqxbj756,一般,否
pjxyqxbk351,游离,是
pjxxzxkj978,游离,是
